variable,coef,t_nw,n_months,signal
const,-0.20204879360895017,-1.8268788762033625,180,techmom_bge
techmom_bge,1.5571789551963737,0.760168101551756,180,techmom_bge
ln_mcap,-8.470725802605064e-05,-0.17921829421007132,180,techmom_bge
bm,-0.0017448617916625156,-0.8008484456872368,180,techmom_bge
vol,-0.16819105301138146,-2.737290048965879,180,techmom_bge
to,0.0305157594196783,1.5726590285674176,180,techmom_bge
rev,-0.025170262329125892,-3.2141520451240964,180,techmom_bge
roe,0.0005284979086842086,0.3677677864631056,179,techmom_bge
