weighting,portfolio,mean_fwd_ret,t_nw,signal
EW,Q1,0.009706033974163052,2.324377329523181,techmom_bge
EW,Q2,0.011406534059017844,2.998765398136139,techmom_bge
EW,Q3,0.010732847433174597,2.8654471729047413,techmom_bge
EW,Q4,0.011691818978979947,2.97315314867223,techmom_bge
EW,Q5,0.008569613221020135,2.219803401873763,techmom_bge
EW,Q5-Q1,-0.0011364207531429182,-0.7309580979377692,techmom_bge
VW,Q1,0.01108659498494179,4.013059846388637,techmom_bge
VW,Q2,0.011863418840664011,3.9546503332379466,techmom_bge
VW,Q3,0.011892444169109395,4.154948540839026,techmom_bge
VW,Q4,0.011052199676092861,3.6995956420271034,techmom_bge
VW,Q5,0.008773537907551492,2.372874615228349,techmom_bge
VW,Q5-Q1,-0.002313057077390298,-0.8761516547145037,techmom_bge
EW,Q1,0.0092448389265029,2.285809494322444,techmom_cls
EW,Q2,0.010904365506822063,3.0297951565269905,techmom_cls
EW,Q3,0.012119056712860643,3.0184041570584723,techmom_cls
EW,Q4,0.0105507036761243,2.623993472051679,techmom_cls
EW,Q5,0.009374466241183158,2.41655028150926,techmom_cls
EW,Q5-Q1,0.00012962731468025977,0.08832021344501807,techmom_cls
VW,Q1,0.009242073236220946,2.9077119239688374,techmom_cls
VW,Q2,0.011500394016636368,4.00922107713209,techmom_cls
VW,Q3,0.012287607530236756,4.203118534894094,techmom_cls
VW,Q4,0.010852839815099413,3.371903689089191,techmom_cls
VW,Q5,0.010522941397586666,3.7184930693083924,techmom_cls
VW,Q5-Q1,0.0012808681613657208,0.5793156244796159,techmom_cls
