portfolio,mean_fwd_ret,t_nw,signal
Q1,-0.009132541216353486,-3.9336257617229156,techmom_bge
Q2,0.00012937056844635982,0.05507683796326172,techmom_bge
Q3,-0.0003890063912081843,-0.16146967673415458,techmom_bge
Q4,0.008843102728606458,3.7248522835293767,techmom_bge
Q5,0.014158975150749419,6.236685723763687,techmom_bge
Q5-Q1,0.02329151636710291,9.137331930624937,techmom_bge
Q1,-0.01338327492295372,-6.241343982025612,techmom_cls
Q2,-0.0022539417069632173,-0.8909721972757748,techmom_cls
Q3,0.0028774869019156527,1.1896757216087672,techmom_cls
Q4,0.0072190049749162434,3.08528945816927,techmom_cls
Q5,0.01945297901875575,6.864684752496886,techmom_cls
Q5-Q1,0.03283625394170948,10.614977507649305,techmom_cls
