sample,variable,coef,t_nw,n_months
early (<2017),techmom_bge,0.03623801638953782,1.4213236257267727,84
early (<2017),techmom_cls,0.0366493122492312,1.5288903880176745,84
late (>=2017),techmom_bge,0.02546727808972505,1.3640825389382167,95
late (>=2017),techmom_cls,0.01730283359951679,0.8005959944992085,95
