weighting,portfolio,mean_fwd_ret,t_nw,signal
EW,Q1,0.005148605158210651,1.198920817999253,techmom_bge
EW,Q2,0.01026920200263921,2.6183044153421826,techmom_bge
EW,Q3,0.009825042119007976,2.634757743293233,techmom_bge
EW,Q4,0.009577071369899721,2.34889194273431,techmom_bge
EW,Q5,0.006229410494935556,1.4640085290590545,techmom_bge
EW,Q5-Q1,0.0010808053367249062,0.706370743816,techmom_bge
VW,Q1,-0.012609963699564767,-1.4883956608610063,techmom_bge
VW,Q2,0.0027192352050109344,0.6179037639871051,techmom_bge
VW,Q3,0.012080062406735956,2.107043079328584,techmom_bge
VW,Q4,0.0038482923175004735,0.7448747096590467,techmom_bge
VW,Q5,-0.014202343256667777,-1.5868168229606543,techmom_bge
VW,Q5-Q1,-0.0015923795571030036,-0.14480865883211677,techmom_bge
EW,Q1,0.006387333993758709,1.5074668236119302,techmom_cls
EW,Q2,0.009253030781101939,2.385147799536017,techmom_cls
EW,Q3,0.010178853211706458,2.574894350469458,techmom_cls
EW,Q4,0.008623264740076395,2.079861645474221,techmom_cls
EW,Q5,0.006483284124612484,1.5957639518410092,techmom_cls
EW,Q5-Q1,9.595013085377648e-05,0.0747285490651611,techmom_cls
VW,Q1,-0.010758834889385959,-1.4267775308080288,techmom_cls
VW,Q2,-0.0007589554513682481,-0.14670964393651656,techmom_cls
VW,Q3,0.007214331660030382,1.4005247396470044,techmom_cls
VW,Q4,-0.0007134987134033575,-0.10149301909552583,techmom_cls
VW,Q5,-0.0057306185018401205,-0.8195096241617456,techmom_cls
VW,Q5-Q1,0.005028216387545838,0.6102116507749317,techmom_cls
