weighting,portfolio,mean_fwd_ret,t_nw,signal
EW,Q1,0.008092350349690601,1.983618272574306,techmom_bge
EW,Q2,0.011915521474141906,3.1703423770665546,techmom_bge
EW,Q3,0.011434200805238178,2.9793286713944265,techmom_bge
EW,Q4,0.0112311028529296,2.9979941655699296,techmom_bge
EW,Q5,0.009449100376014832,2.2863562088523115,techmom_bge
EW,Q5-Q1,0.0013567500263242302,0.8791035587066099,techmom_bge
VW,Q1,0.01058022468021709,3.884297254295602,techmom_bge
VW,Q2,0.011173346639112965,3.9237201099114616,techmom_bge
VW,Q3,0.01237061238292354,3.7905593631965284,techmom_bge
VW,Q4,0.011778283270228477,3.938492620899503,techmom_bge
VW,Q5,0.00825869703489523,2.1313218471439477,techmom_bge
VW,Q5-Q1,-0.002321527645321862,-0.8422478634224774,techmom_bge
EW,Q1,0.0092448389265029,2.285809494322444,techmom_cls
EW,Q2,0.010904365506822063,3.0297951565269905,techmom_cls
EW,Q3,0.012119056712860643,3.0184041570584723,techmom_cls
EW,Q4,0.0105507036761243,2.623993472051679,techmom_cls
EW,Q5,0.009374466241183158,2.41655028150926,techmom_cls
EW,Q5-Q1,0.00012962731468025977,0.08832021344501807,techmom_cls
VW,Q1,0.009242073236220946,2.9077119239688374,techmom_cls
VW,Q2,0.011500394016636368,4.00922107713209,techmom_cls
VW,Q3,0.012287607530236756,4.203118534894094,techmom_cls
VW,Q4,0.010852839815099413,3.371903689089191,techmom_cls
VW,Q5,0.010522941397586666,3.7184930693083924,techmom_cls
VW,Q5-Q1,0.0012808681613657208,0.5793156244796159,techmom_cls
