period,months,fm_coef,fm_t,ew_spread,ew_t,vw_spread,vw_t
early 2010..2015,60,0.0473,2.45,0.0011,0.56,0.0014,0.5
late 2015..2024,120,-0.0201,-0.9,-0.0023,-1.02,-0.0048,-1.09
