weighting,portfolio,mean_fwd_ret,t_nw,signal
EW,Q1,0.01010070420470141,2.244853668630367,techmom_bge
EW,Q2,0.013674863153911226,3.3898436828081797,techmom_bge
EW,Q3,0.011340158587985923,2.7741108333526614,techmom_bge
EW,Q4,0.012168172657795698,2.8544891751127572,techmom_bge
EW,Q5,0.00967761814291142,2.2726502824047614,techmom_bge
EW,Q5-Q1,-0.00042308606178999514,-0.2710340968173534,techmom_bge
VW,Q1,0.011758705674036855,3.9086158604390375,techmom_bge
VW,Q2,0.01097532190226467,3.6806726054415164,techmom_bge
VW,Q3,0.012272999801269386,3.668551002994794,techmom_bge
VW,Q4,0.012105256066728055,3.884168964210457,techmom_bge
VW,Q5,0.011109242669119734,3.3960855226435007,techmom_bge
VW,Q5-Q1,-0.0006494630049171203,-0.31086827160958713,techmom_bge
EW,Q1,0.01135228693708854,2.613968174230975,techmom_cls
EW,Q2,0.011922633666263598,2.982640576836117,techmom_cls
EW,Q3,0.01242203224477806,2.967217984194541,techmom_cls
EW,Q4,0.01148892831563742,2.6831749971352843,techmom_cls
EW,Q5,0.009784176377645948,2.293785675472407,techmom_cls
EW,Q5-Q1,-0.0015681105594425944,-1.1819090484377601,techmom_cls
VW,Q1,0.009762353878081538,3.004779453890946,techmom_cls
VW,Q2,0.011630858162926097,4.042108345163974,techmom_cls
VW,Q3,0.012837263274209584,4.287342372950505,techmom_cls
VW,Q4,0.011692161677124255,3.5183293919474723,techmom_cls
VW,Q5,0.011660776379324177,3.771300404573624,techmom_cls
VW,Q5-Q1,0.00189842250124264,0.8225789831658087,techmom_cls
